Deputado,Fala
Silvio Costa,"['maior', 'herança', 'homem', 'pode', 'deixar', 'filhos', 'netos', 'bisnetos', 'honra', 'integridade', 'caráter', 'Hoje', 'segunda', 'vez', 'parcela', 'elite', 'brasileira', '...', 'Uma', 'parcela', 'elite', 'brasileira', 'torturando', 'Presidente', 'Dilma', 'Hoje', 'dia', 'deveria', 'existir', 'No', 'futuro', 'sobre', 'dia', 'história', 'vai', 'contar', 'alegria', 'triste', 'palavra', 'bonita', 'língua', 'portuguesa', 'Meu']"
Tadeu Alencar,"['Presidente', 'afastamento', 'Presidente', 'República', 'sempre', 'algo', 'traumático', 'vida', 'qualquer', 'país', 'noite', 'necessária', 'Estão', 'presentes', 'pressupostos', 'políticos', 'jurídicos', 'caracterizam', 'crime', 'responsabilidade', 'Presidente', 'Essa', 'grande', 'manifestação', 'Parlamento', 'brasileiro', 'sentimento', 'maioria', 'sociedade', 'brasileira', 'Por', 'hoje', 'começamos', 'reconstruir', 'vida', 'pública', 'País', 'tentar', 'reconstruí-la', 'Precisamos', 'seguir', 'mudando', 'Inclusive', 'imperativo', 'cívico', 'Parlamento', 'Presidência', 'desta', 'Casa', 'submeta', 'julgamento', 'deste', 'Parlamento', 'porque', 'sociedade', 'brasileira', 'entende', 'Presidente', 'República', 'sendo', 'afastada', 'Presidência', 'continue', 'sob', 'repúdio', 'sociedade', 'Por', 'Pernambuco', 'líder', 'Eduardo', 'Campos']"
Wolney Queiroz,"['Presidente', 'política', 'lugar', 'fracos', 'povo', 'sabe', 'dar', 'valor', 'homem', 'público', 'posição', 'Então', 'nome', 'democracia', 'nãoa', 'Eduardo', 'Cunha', 'golpe', 'Presidente', 'eleito', 'votos', 'Não', 'golpe', 'Não', 'golpe', 'Não', 'golpe']"
Zeca Cavalcanti,"['Companheiros', 'facílimo', 'dar', '355', 'votos', 'favoráveis', 'impedimento', 'Presidenta', 'República', 'Mas', 'venho', 'Pernambuco', 'Sertão', 'Pernambuco', 'cidade', 'Arcoverde', 'lá', 'endossam', 'assim', 'alguns', 'companheiros', 'assinalaram', 'votos', 'democracia', 'Pernambuco', 'especial', 'Sertão', 'Pernambuco', 'impedimento']"
Adelson Barreto,"['Presidente', 'Deputados', 'Deputadas', 'povo', 'brasileiro', 'sintonia', 'harmonia', 'povo', 'Aracaju', 'povo', 'Sergipe', 'estimado', 'amado', 'Estado', 'sintonia', 'maioria', 'povo', 'brasileiro', 'esperança', 'extirpar', 'estagnação', 'submetido', 'País', 'esperança', 'País', 'possa', 'progredir', 'votamos']"
André Moura,"['Presidente', 'inicialmente', 'gostaria', 'registrar', 'quão', 'orgulhoso', 'liderar', 'bancada', 'tão', 'valorosa', 'PSC', 'quero', 'fazer', 'registro', 'Parlamentar', 'orgulha', 'Parlamento', 'partido', 'conosco', 'semana', 'passada', 'condição', 'suplente', 'hoje', 'Deputado', 'Marcondes', 'Gadelha', 'Parlamentar', 'exemplar', 'Presidente', 'quero', 'agradecer', 'toda', 'bancada', 'dizer', 'nenhum', 'povo', 'realmente', 'grande', 'senão', 'liberdade', 'conquista', 'Neste', 'momento', 'histórico', 'povo', 'brasileiro', 'Pátria', 'Pelo', 'amado', 'Estado', 'Sergipe', 'grande', 'homem', 'mestre', 'Filosofia', 'Direito', 'Tobias', 'Barreto', 'nome', 'família', 'filhos', 'Yandra', 'Yago', 'Presidente', 'impeachment']"
Fábio Mitidieri,"['Quis', 'destino', 'povo', 'Sergipe', 'hoje', 'vivendo', 'momento', 'ladrão', 'corrupto', 'vendido', 'sequer', 'PT', 'Também', 'amo', 'família', 'povo', 'sergipano', 'democracia', 'ensina', 'respeitar', 'posições', 'divergentes', 'Exercendo', 'democracia', 'consideração', 'Estado', 'Democrático', 'Direito', 'vontade', 'urnas']"
Fábio Reis,['Presidente']
João Daniel,"['Faço', 'homenagem', 'grandes', 'homens', 'sergipanos', 'passaram', 'Congresso', 'Nacional', 'querido', 'saudoso', 'ex-Senador', 'José', 'Eduardo', 'Dutra', 'querido', 'saudoso', 'ex-Deputado', 'Federal', 'Governador', 'Marcelo', 'Deda', 'classe', 'trabalhadora', 'ruas', 'vai', 'aceitar', 'golpe', 'graça', 'Esse', 'golpe', 'contra', 'pobres', 'golpe', 'contra', 'luta', 'povo', 'brasileiro', 'golpe', 'contra', 'direitos', 'classe', 'trabalhadora', 'Nós', 'votamos', 'democracia', 'votamos', 'honestidade', 'Presidenta', 'Dilma', 'Nós', 'votamos', 'contra', 'golpe', 'Não', 'golpe', 'Viva', 'povo', 'sergipano', 'Viva', 'povo', 'brasileiro']"
Jony Marcos,"['Deputados', 'povo', 'grandioso', 'Estado', 'Sergipe', '—o', 'menor', 'Estado', 'Estado', 'amo', 'Estado', 'maravilhoso', 'povo', 'brasileiro', 'partido', 'Partido', 'Republicano', 'Brasileiro', 'fundador', 'presidido', 'Presidente', 'Marcos', 'Pereira', 'tomou', 'posicionamento', 'todos', 'Deputados', 'decidimos', 'acompanhar', 'posicionamento', 'direção', 'dada', 'Presidente', 'último', 'Deputado', 'PRB', 'vota', 'nesta', 'noite', 'devo', 'dizer', 'todos', 'vou', 'honrar', 'osmeus', 'companheiros', 'acompanhar', 'todos', '21', 'Deputados', 'antecederam', 'nesta', 'tribuna', 'Voto', 'Presidente']"
Laércio Oliveira,"['Presidente', 'nobres', 'Deputados', 'Deputadas', 'partir', 'daqui', 'compromisso', 'grande', 'resgatar', 'País', 'desenvolvimento', 'Este', 'momento', 'ponto', 'partida', 'Em', 'nome', 'nome', 'povo', 'Sergipe', 'povo', 'Aracaju', 'esperança', 'dias', 'melhores']"
Valadares Filho,"['Presidente', 'Deputados', 'pensando', 'melhor', 'povo', 'brasileiro', 'respeitando', 'Constituição', 'seguindo', 'orientação', 'partido', 'aracajuanos', 'querido', 'povo', 'Sergipe', 'povo']"
Arthur Lira,"['Presidente', 'prazer', 'abrir', 'votação', 'último', 'Estado', 'Estado', 'Alagoas', 'Antes', 'queria', 'parabenizar', 'belíssimo', 'trabalho', 'Relator', 'amigo', 'Deputado', 'Jovair', 'Arantes', 'Não', 'acredito', 'resultado', 'hoje', 'consagrado', 'Casa', 'vá', 'permitir', 'Casa', 'diálogo', 'encontrar', 'caminho', 'desenvolvimento', 'Em', 'nome', 'desse', 'diálogo', 'nome', 'desenvolvimento', 'chego', 'segundo', 'mandato', 'certeza', 'desenvolvimento', 'mudança', 'vida', 'pessoas', 'grande', 'trabalho', 'deste', 'Congresso', 'parado', 'encontrar', 'saída', 'Em', 'nome', 'dessa', 'saída', 'progresso', 'alagoanos', 'filhos', 'vive', 'Alagoas', 'encaminhando', 'junto', 'partido', 'fechou', 'questão', 'favor', 'impeachment', 'dou', 'prosseguimento']"
Cícero Almeida,"['Presidente', 'Deputados', 'momento', 'programação', 'certeza', 'população', 'alagoana', 'votou', 'mim', 'durante', 'últimos', '15', 'anos', 'objetivo', 'participasse', 'deste', 'momento', 'Mas', 'gratidão', 'dívida', 'Deus', 'povo', 'alagoano', 'senhora', 'assistindo', 'agora', 'mãe', '83', 'anos', 'idade', 'Agradeço', 'Deus', 'vida', 'devolveu', 'inúmeras', 'vezes', 'agradeço', 'população', 'alagoana', 'tudo', 'fez', 'mim', 'durante', 'últimos', '15', 'anos', 'Portanto', 'lealdade', 'especialmente', 'povo', 'capital', 'impeachment']"
Givaldo Carimbão,"['Presidente', 'Deputados', 'Nação', 'brasileira', 'fácil', '20', 'votos', 'querer', 'aparecer', 'repente', 'fazer', 'média', 'sociedade', 'perfil', 'Presidente', 'Prefiro', 'perder', 'pé', 'dignidade', 'fazer', 'muitos', 'fizeram', 'ter', 'coragem', 'enfrentar', 'posição', 'Aqui', 'homens', 'bem', 'Tenho', '20', 'anos', 'nesta', 'Casa', 'Companheiros', 'companheiras', 'Deputadas', 'Deputados', 'Supremo', 'Tribunal', 'Federal', 'julgou', 'causa', 'antes', 'ontem', 'resultado', 'cinco', 'cinco', 'Ali', 'maiores', 'juristas', 'julgando', 'Constituição', 'resultado', 'divisão', 'Supremo', 'cinco', 'cinco', 'Quanto', 'Parlamento', 'Casa', 'política', 'Parlamentar', 'toda', 'liberdade', 'divergir', 'Portanto', 'Presidente', 'fiz', 'registro', 'Casa', 'três', 'vezes', '...', 'continuo', 'posição', 'vou', 'lavar', 'mãos', 'Pôncio', 'Pilatos', 'Presidente']"
JHC,"['Quis', 'povo', 'honrado', 'Estado', 'Alagoas', 'dia', 'hoje', 'fazer', 'história', 'sabia', 'responsabilidade', 'ter', 'sido', 'Deputado', 'Federal', 'votado', 'daquele', 'Estado', 'sabia', 'responsabilidade', 'ser', 'Deputado', 'jovem', 'hoje', 'responsabilidade', 'mão', 'representar', 'jovens', 'querem', 'política', 'séria', 'transparente', 'ética', 'representando', 'povo', 'brasileiro', 'venho', 'manifestar', 'Ao', 'contrário', 'dizem', 'argumentos', 'falaciosos', 'dizia', 'Schumpeter', 'sobre', 'democracia', 'participativa', 'hoje', 'Governo', 'tudo', 'pregou', 'faz', 'diferente', 'Presidente', 'analisar', 'interpretação', 'regimes', 'Cuba', 'eleição', 'Coreia', 'Norte', 'eleição', 'Iraque', 'eleição', 'Portanto', 'Presidente', 'podemos', 'virar', 'costas', 'opinião', 'pública', 'fingir', 'povo', 'fala', 'ruas', 'falam', 'importam', 'neste', 'momento', 'Presidente', 'Deputados', 'Deputado', 'Jhc', 'vota', 'impeachment', 'Viva', 'Alagoas', 'Viva', 'Maceió']"
Marx Beltrão,"['Diante', 'impossibilidade', 'novas', 'eleições', 'favor', '10', 'milhões', 'desempregados', 'País', 'favor', 'melhorar', 'economia', 'País', 'favor', 'querida', 'cidade', 'Coruripe', 'homenagem', 'jovens', 'País', 'geração', 'geração', 'filhos', 'geração', 'clama', 'esperança', 'dias', 'melhores', 'bem', 'Nação', 'acima', 'tudo', 'bem', 'Estado', 'Alagoas', 'impeachment', 'Presidente']"
Maurício Quintella Lessa,"['Presidente', 'Deputados', 'queridos', 'amigos', 'Estado', 'Alagoas', 'litoral', 'sertão', 'Estado', 'quero', 'dizer', 'processo', 'começou', 'opinião', 'formada', 'Comissão', 'Especial', 'lá', 'sentei', 'lado', 'Deputado', 'Jovair', 'Arantes', 'Deputado', 'Rogério', 'Rosso', 'Deputado', 'Carlos', 'Sampaio', 'todos', 'companheiros', 'Ouvi', 'toda', 'atenção', 'denunciantes', 'dissequei', 'defesa', 'fiz', 'convencimento', 'Quero', 'dizer', 'companheiros', 'Presidente', 'República', 'cometeu', 'crime', 'responsabilidade', 'cometeu', 'rol', 'crimes', 'responsabilidade', 'Ela', 'atentou', 'contra', 'Orçamento', 'País', 'atentou', 'contra', 'competência', 'Congresso', 'Nacional', 'atentou', 'contra', 'própria', 'democracia', 'Mesmo', 'tendo', 'partido', 'orientação', 'diferente', 'podia', 'liderar', 'maioria', 'bancada', 'menos', 'precipício', 'Renunciei', 'liderança', 'bancada', 'chegar', 'momento', 'paz', 'travesseiro', 'melhor', 'amigo', 'consciência', 'Voto', 'impeachment', 'Voto', 'afastamento', 'Presidenta']"
Paulão,"['Companheiros', 'companheiras', 'Parlamentares', 'povo', 'brasileiro', 'queria', 'discutir', 'princípios', 'fundamentais', 'Constituição', '1988', 'poder', 'emana', 'povo', 'referência', 'velho', 'Ulysses', 'Guimarães', 'verdadeiro', 'brasileiro', 'recepcionou', 'Carta', 'Magna', 'soberania', 'nacional', 'defesa', 'Agora', 'vejam', 'vergonha', 'Casa', 'sendo', 'presidida', '...', 'sacripanta', 'Deputado', 'Eduardo', 'Cunha', 'amor', 'porque', 'contas', 'Suíça', 'Panamá', 'independente', 'desse', 'resultado', 'honrando', 'povo', 'brasileiro', 'sangue', 'luta', 'Zumbi', 'agradecendo', 'movimentos', 'sociais', 'luta', 'continua', 'Não', 'golpe', 'Não', 'golpe']"
Pedro Vilela,"['Presidente', 'Deputados', 'respeito', 'povo', 'Alagoas', 'defesa', 'Constituição', 'Federal', 'nome', 'memória', 'avô', 'maior', 'referência', 'saudoso', 'Menestrel', 'Alagoas', 'Teotônio', 'Vilela', 'palmas', 'renovar', 'esperança', 'povo', 'brasileiro']"
Ronaldo Lessa,"['Presidente', 'Deputados', 'chegamos', 'época', 'vida', 'achamos', 'vai', 'passar', 'nada', 'difícil', 'passou', 'Melhorou', 'porque', 'decisão', 'tomada', 'menos', 'ruim', 'Ou', 'talvez', 'melhor', 'decidir', 'Mas', 'falo', 'dois', 'motivos', 'Presidente', 'rapidamente', 'Primeiro', 'clamor', 'sociedade', 'mudança', 'Por', 'tentei', 'ver', 'PDT', 'abria', 'questão', 'PDT', 'fechado', 'sob', 'alegação', 'irrefutável', 'podia', 'discutir', 'havia', 'crime', 'responsabilidade', 'tirar', 'Presidente', 'República', 'Isso', 'inquestionável', 'principalmente', 'Chefe', 'Executivo', 'Portanto', 'nome', 'nordestinos', 'povo']"
